ID;Cluster
781;cluster_1
782;cluster_1
783;cluster_2
784;cluster_3
785;cluster_4
786;cluster_2
787;cluster_2
788;cluster_3
789;cluster_1
790;cluster_5
791;cluster_2
792;cluster_2
793;cluster_5
794;cluster_2
795;cluster_2
796;cluster_2
797;cluster_5
798;cluster_5
799;cluster_3
800;cluster_1
801;cluster_2
802;cluster_0
803;cluster_0
804;cluster_2
805;cluster_3
806;cluster_1
807;cluster_3
808;cluster_1
809;cluster_3
810;cluster_4
811;cluster_4
812;cluster_3
813;cluster_3
814;cluster_1
815;cluster_3
816;cluster_3
817;cluster_3
818;cluster_3
819;cluster_3
820;cluster_3
821;cluster_4
822;cluster_1
823;cluster_3
824;cluster_3
825;cluster_4
826;cluster_3
827;cluster_3
828;cluster_3
829;cluster_3
830;cluster_2
831;cluster_3
832;cluster_3
833;cluster_3
834;cluster_1
835;cluster_4
836;cluster_4
837;cluster_0
838;cluster_3
839;cluster_1
840;cluster_3
841;cluster_0
842;cluster_5
843;cluster_5
844;cluster_0
845;cluster_2
846;cluster_5
847;cluster_0
848;cluster_5
849;cluster_0
850;cluster_2
851;cluster_0
852;cluster_0
853;cluster_4
854;cluster_5
855;cluster_5
856;cluster_5
857;cluster_5
858;cluster_2
859;cluster_3
860;cluster_1
861;cluster_1
862;cluster_2
863;cluster_2
864;cluster_0
865;cluster_5
866;cluster_2
867;cluster_2
868;cluster_0
869;cluster_2
870;cluster_2
871;cluster_3
872;cluster_2
873;cluster_2
874;cluster_2
875;cluster_2
876;cluster_2
877;cluster_5
878;cluster_2
879;cluster_2
880;cluster_0
881;cluster_4
882;cluster_3
883;cluster_0
884;cluster_2
885;cluster_2
886;cluster_1
887;cluster_2
888;cluster_3
889;cluster_3
890;cluster_2
891;cluster_2
892;cluster_4
893;cluster_3
894;cluster_2
895;cluster_2
896;cluster_0
897;cluster_3
898;cluster_0
899;cluster_3
900;cluster_5
901;cluster_3
902;cluster_4
903;cluster_1
904;cluster_2
905;cluster_1
906;cluster_3
907;cluster_3
908;cluster_1
909;cluster_3
910;cluster_5
911;cluster_1
912;cluster_0
913;cluster_3
914;cluster_4
915;cluster_1
916;cluster_0
917;cluster_3
918;cluster_3
919;cluster_0
920;cluster_3
921;cluster_0
922;cluster_4
923;cluster_2
924;cluster_4
925;cluster_4
926;cluster_2
927;cluster_5
928;cluster_4
929;cluster_2
930;cluster_3
931;cluster_3
932;cluster_0
933;cluster_4
934;cluster_2
935;cluster_1
936;cluster_2
937;cluster_2
938;cluster_1
939;cluster_3
940;cluster_3
941;cluster_2
942;cluster_2
943;cluster_3
944;cluster_2
945;cluster_5
946;cluster_5
947;cluster_2
948;cluster_5
949;cluster_2
950;cluster_2
951;cluster_2
952;cluster_5
953;cluster_3
954;cluster_2
955;cluster_2
956;cluster_2
957;cluster_2
958;cluster_2
959;cluster_3
960;cluster_3
961;cluster_0
962;cluster_1
963;cluster_2
964;cluster_3
965;cluster_3
966;cluster_2
967;cluster_3
968;cluster_3
969;cluster_5
970;cluster_3
971;cluster_3
972;cluster_5
973;cluster_0
974;cluster_3
975;cluster_2
976;cluster_2
977;cluster_5
978;cluster_3
979;cluster_2
980;cluster_4
981;cluster_0
982;cluster_3
983;cluster_3
984;cluster_1
985;cluster_3
986;cluster_3
987;cluster_0
988;cluster_5
989;cluster_3
990;cluster_3
991;cluster_3
992;cluster_1
993;cluster_2
994;cluster_0
995;cluster_3
996;cluster_3
